Clinics,Description,Category,City,Country,rating,Review,Address,Phone_number,Availability,Site_url,Status_working,
Rekinetix на Жарокова. Центр физической и нейрореабилитации,· Medical clinic,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,4.6,-65,Zharokov St 20,· 8 (747) 344 9107,⋅ Closes 4 PM,"https://www.google.com/maps/dir//Rekinetix+%D0%BD%D0%B0+%D0%96%D0%B0%D1%80%D0%BE%D0%BA%D0%BE%D0%B2%D0%B0.+%D0%A6%D0%B5%D0%BD%D1%82%D1%80+%D1%84%D0%B8%D0%B7%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D0%B8+%D0%BD%D0%B5%D0%B9%D1%80%D0%BE%D1%80%D0%B5%D0%B0%D0%B1%D0%B8%D0%BB%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D0%B8,+Zharokov+St+20,+Almaty+050000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836947de050dc3:0xc7e047e79f3bde62?sa=X&ved=1t:57443&ictx=111",Open,
RC-VIT Центр Функциональной И Спортивной Реабилитации,· Sports massage therapist,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,5,-1,"к20-21, Ulitsa Algabas-1 5",· 8 (705) 216 9080,⋅ Opens 9 AM Mon,"https://www.google.com/maps/dir//RC-VIT+%D0%A6%D0%B5%D0%BD%D1%82%D1%80+%D0%A4%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9+%D0%98+%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B9+%D0%A0%D0%B5%D0%B0%D0%B1%D0%B8%D0%BB%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D0%B8,+%D0%BA20-21,+Ulitsa+Algabas-1+5,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388341fcde0de5ed:0xc6a62c1860b3eb21?sa=X&ved=1t:57443&ictx=111",Closed,
Neuro Rehab Clinic,· Rehabilitation center,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,4.3,-6,"Baytursynov, Gagarin Ave 46",· 8 (708) 555 0848,⋅ Closes 2 PM,"https://www.google.com/maps/dir//Neuro+Rehab+Clinic,+Baytursynov,+Gagarin+Ave+46,+Almaty+050009/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836900638470d7:0xe3c50c51793cbf9e?sa=X&ved=1t:57443&ictx=111",Open,
Медицинский центр «Доктор Ост»,· Physical therapy clinic,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,4.8,-51,Mukagali Makataev Street 131,· 8 (727) 347 0461,⋅ Closes 9 PM,"https://www.google.com/maps/dir//%D0%9C%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9+%D1%86%D0%B5%D0%BD%D1%82%D1%80+%C2%AB%D0%94%D0%BE%D0%BA%D1%82%D0%BE%D1%80+%D0%9E%D1%81%D1%82%C2%BB,+Mukagali+Makataev+Street+131,+Almaty+050000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836f5ba694925d:0xe665fb809168315f?sa=X&ved=1t:57443&ictx=111",Open,
Rekinetix. Центр физической и нейрореабилитации. Кок-Тобе,· Medical clinic,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,5,-3,Zhanibekov St 42а,· 8 (707) 344 9007,⋅ Opens 8 AM Mon,"https://www.google.com/maps/dir//Rekinetix.+%D0%A6%D0%B5%D0%BD%D1%82%D1%80+%D1%84%D0%B8%D0%B7%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D0%B8+%D0%BD%D0%B5%D0%B9%D1%80%D0%BE%D1%80%D0%B5%D0%B0%D0%B1%D0%B8%D0%BB%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D0%B8.+%D0%9A%D0%BE%D0%BA-%D0%A2%D0%BE%D0%B1%D0%B5,+Zhanibekov+St+42%D0%B0,+Almaty+050051/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836f550d6f1677:0x864f0b1ecbef0a1e?sa=X&ved=1t:57443&ictx=111",Closed,
Skolioz.kz центр вертебрологии и реабилитации,· Physical therapy clinic,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,4,-21,Nauryzbai Batyr St 99/1,· 8 (707) 666 2230,⋅ Closes 6 PM,"https://www.google.com/maps/dir//Skolioz.kz+%D1%86%D0%B5%D0%BD%D1%82%D1%80+%D0%B2%D0%B5%D1%80%D1%82%D0%B5%D0%B1%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8+%D0%B8+%D1%80%D0%B5%D0%B0%D0%B1%D0%B8%D0%BB%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D0%B8,+Nauryzbai+Batyr+St+99%2F1,+Almaty+050000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836f78143f250d:0x6035e55697c0bf5f?sa=X&ved=1t:57443&ictx=111",Open,
Impulse Rehabilitation Centre,· Medical Center,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,4,-5,"д, Gagarin Ave 236B",· 8 (727) 396 0919,,"https://www.google.com/maps/dir//Impulse+Rehabilitation+Centre,+%D0%B4,+Gagarin+Ave+236B,+Almaty+050060/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388368c23554b37d:0x25796d0b734ba6da?sa=X&ved=1t:57443&ictx=111",Open 24 hours,
Kinesio Doctor,· Rehabilitation center,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,4.5,-8,Тимирязева 42 15/107,· 8 (747) 749 0303,⋅ Closes 6 PM,"https://www.google.com/maps/dir//Kinesio+Doctor,+%D0%A2%D0%B8%D0%BC%D0%B8%D1%80%D1%8F%D0%B7%D0%B5%D0%B2%D0%B0+42+15%2F107,+Almaty+050060/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388369ed1f3612f7:0x7b01f6d4be62e0fb?sa=X&ved=1t:57443&ictx=111",Open,
TERRAMED - безоперационное лечение грыжи методом резорбции,· Physical therapist,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,5,-64,Zharokov St 276,· 8 (747) 744 0470,⋅ Opens 9 AM Mon,"https://www.google.com/maps/dir//TERRAMED+-+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BB%D0%B5%D1%87%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B3%D1%80%D1%8B%D0%B6%D0%B8+%D0%BC%D0%B5%D1%82%D0%BE%D0%B4%D0%BE%D0%BC+%D1%80%D0%B5%D0%B7%D0%BE%D1%80%D0%B1%D1%86%D0%B8%D0%B8,+Zharokov+St+276,+Almaty+050060/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388369eddbd857e3:0xd3b67af97218ccfb?sa=X&ved=1t:57443&ictx=111",Closed,
"""Aruana Clinic"" многопрофильный центр медицинской реабилитации",· Rehabilitation center,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,4,-24,Ulitsa Almaly 35а,· 8 (7272) 62 12 08,,"https://www.google.com/maps/dir//%22Aruana+Clinic%22+%D0%BC%D0%BD%D0%BE%D0%B3%D0%BE%D0%BF%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%86%D0%B5%D0%BD%D1%82%D1%80+%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B9+%D1%80%D0%B5%D0%B0%D0%B1%D0%B8%D0%BB%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D0%B8,+Ulitsa+Almaly+35%D0%B0,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836f972b1a9687:0xafea76b6a105eeeb?sa=X&ved=1t:57443&ictx=111",Open 24 hours,
ASTANA VISION г. Астана,· Eye Care Clinic,Plastic surgery clinic,Astana,Kazakhstan,4.5,-251,Астана,· 8 (747) 623 5190,⋅ Closes 3 PM,Open,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiBi42lr-iLAxW7U5EFHWHXEBEYABAHGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWpAUT_nAS8oPsaU3xs5VT7VujPt3yuFq4YYP6WA3dTW0MGVyfcnCXEaAt-uEALw_wcB&ohost=www.google.com&cid=CAESVeD2kCQS6gOx0WVoekVOpDfcAfLRwaw4OPev7azFVYKmhqc2gO9cPqLo9EoRUuBXexFxVkx8wALGCmbKi3MzV_zuh0w6mNooxlRwnTlRbirAU3NTwtI&sig=AOD64_2HS81w9-O-8bvn7nwe5FQUevhkjg&q=&ctype=99&ved=2ahUKEwjK9oalr-iLAxUNKhAIHdjyAJQQhKwBegQIHBAP&adurl=,· Medical centre
Клиника пластической хирургии Callisto beautyclinic Жиличев Дмитрий Алексеевич,· Plastic surgeon,Plastic surgery clinic,Astana,Kazakhstan,4.4,-13,Prospekt Mangilik Yel. 29/1,· 8 (775) 473 7333,⋅ Opens 8 AM Mon,Closed,"https://www.google.com/maps/dir//%D0%9A%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0+%D0%BF%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D1%85%D0%B8%D1%80%D1%83%D1%80%D0%B3%D0%B8%D0%B8+Callisto+beautyclinic+%D0%96%D0%B8%D0%BB%D0%B8%D1%87%D0%B5%D0%B2+%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9+%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87,+Prospekt+Mangilik+Yel.+29%2F1,+Astana+010000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x424581689a9b122d:0x33188088dcbec8fe?sa=X&ved=1t:57443&ictx=111",
Darus,· Plastic surgery clinic,Plastic surgery clinic,Astana,Kazakhstan,4.2,-15,Turkistan Street 10,· 8 (701) 401 6168,⋅ Closes 9 PM,Open,"https://www.google.com/maps/dir//Darus,+Turkistan+Street+10,+Astana+020000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4245813ab0740925:0xef6f8c1cb907a7bb?sa=X&ved=1t:57443&ictx=111",
"Медицинский Центр ""Callisto Beauty Clinic""",· Plastic surgery clinic,Plastic surgery clinic,Astana,Kazakhstan,5,-24,проспект Мәнгілік ел 29/1,· 8 (747) 094 7184,⋅ Closes 8 PM,Open,"https://www.google.com/maps/dir//%D0%9C%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9+%D0%A6%D0%B5%D0%BD%D1%82%D1%80+%22Callisto+Beauty+Clinic%22,+%D0%BF%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82+%D0%9C%D3%99%D0%BD%D0%B3%D1%96%D0%BB%D1%96%D0%BA+%D0%B5%D0%BB+29%2F1,+Astana+020000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4245843f0ffddb6f:0x18a6700197d20837?sa=X&ved=1t:57443&ictx=111",
HB clinic,· Plastic surgery clinic,Plastic surgery clinic,Astana,Kazakhstan,5,-1,"Turan Ave 14, ВП5",· 8 (700) 800 0999,⋅ Opens 8 AM Mon,Closed,"https://www.google.com/maps/dir//HB+clinic,+Turan+Ave+14,+%D0%92%D0%9F5,+Astana+010000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x424587b28b625ef7:0xf7b3e992afdc24?sa=X&ved=1t:57443&ictx=111",
Клиника интимной пластики Verum,· Plastic surgery clinic,Plastic surgery clinic,Astana,Kazakhstan,5,-1,Azerbaijan Mambetov St 8,· 8 (701) 749 0997,⋅ Closes 9 PM,Open,"https://www.google.com/maps/dir//%D0%9A%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0+%D0%B8%D0%BD%D1%82%D0%B8%D0%BC%D0%BD%D0%BE%D0%B9+%D0%BF%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%B8+Verum,+Azerbaijan+Mambetov+St+8,+Astana+010000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x424587a08e5d4bf5:0xc040bd181182b416?sa=X&ved=1t:57443&ictx=111",
LOR Estet Clinic Клиника ЛОР заболеваний и эстетической медицины,· Plastic surgery clinic,Plastic surgery clinic,Astana,Kazakhstan,5,-3,улица Алихана Бокейханова 15,· 8 (747) 254 0101,⋅ 1 PM,Closes soon,"https://www.google.com/maps/dir//LOR+Estet+Clinic+%D0%9A%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0+%D0%9B%D0%9E%D0%A0+%D0%B7%D0%B0%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9+%D0%B8+%D1%8D%D1%81%D1%82%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%8B,+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BB%D0%B8%D1%85%D0%B0%D0%BD%D0%B0+%D0%91%D0%BE%D0%BA%D0%B5%D0%B9%D1%85%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0+15,+Astana+020000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x424585e8b0ee4b4f:0xe90cbeaf0b370d74?sa=X&ved=1t:57443&ictx=111",
Клиника пластической хирургии,· Plastic surgeon,Plastic surgery clinic,Astana,Kazakhstan,4,-1,Tauelsizdik Ave 8,· 8 (7172) 36 01 75,⋅ Closes 9 PM,Open,"https://www.google.com/maps/dir//%D0%9A%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0+%D0%BF%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D1%85%D0%B8%D1%80%D1%83%D1%80%D0%B3%D0%B8%D0%B8,+Tauelsizdik+Ave+8,+Astana+010010/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x42458159c8810a97:0xbe69e61857fdcd3?sa=X&ved=1t:57443&ictx=111",
Tulip Medicine: Центр эстетической медицины и хирургии,· Plastic surgeon,Plastic surgery clinic,Astana,Kazakhstan,4.1,-9,"ул. Байтурсынова 1, блок А-5",· 8 (702) 075 0808,⋅ Closes 9 PM,Open,"https://www.google.com/maps/dir//Tulip+Medicine:+%D0%A6%D0%B5%D0%BD%D1%82%D1%80+%D1%8D%D1%81%D1%82%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%8B+%D0%B8+%D1%85%D0%B8%D1%80%D1%83%D1%80%D0%B3%D0%B8%D0%B8,+%D1%83%D0%BB.+%D0%91%D0%B0%D0%B9%D1%82%D1%83%D1%80%D1%81%D1%8B%D0%BD%D0%BE%D0%B2%D0%B0+1,+%D0%B1%D0%BB%D0%BE%D0%BA+%D0%90-5,+Astana+010000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4245878ab45858b1:0xff951023c31d1d65?sa=X&ved=1t:57443&ictx=111",
Klinika Plasticheskoy Khirurgii Doktora Koblandina,· Plastic surgery clinic,Plastic surgery clinic,Astana,Kazakhstan,4.4,-5,"201НП, Ул. Бухар Жырау 20",8 (775) 705 3333,,,"https://www.google.com/maps/dir//Klinika+Plasticheskoy+Khirurgii+Doktora+Koblandina,+201%D0%9D%D0%9F,+%D0%A3%D0%BB.+%D0%91%D1%83%D1%85%D0%B0%D1%80+%D0%96%D1%8B%D1%80%D0%B0%D1%83+20,+Astana+020000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x42458525f900b8a9:0xfbf5a8cfe1677ebd?sa=X&ved=1t:57443&ictx=111",
Plasticheskiy Khirurg Sorokin Aleksey Dmitriyevich,· Plastic surgeon,Plastic surgery clinic,Astana,Kazakhstan,5,-2,· +7 962 066-45-53,,⋅ Closes 5 PM,Open,,
Alta Medicus Сlinic,· Medical Center,Plastic surgery clinic,Astana,Kazakhstan,5,-29,Kenesary St 8,· 8 (7172) 76 97 77,⋅ Closes 4 PM,Open,"https://www.google.com/maps/dir//Alta+Medicus+%D0%A1linic,+Kenesary+St+8,+Astana+020000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x424587566c7814c3:0x8bab444f36e6b3da?sa=X&ved=1t:57443&ictx=111",
Пластический хирург Бейскенов Ильяс Саматович. Пластическая хирургия в Астане.,· Plastic surgeon,Plastic surgery clinic,Astana,Kazakhstan,3.7,-7,"29/1, Prospekt Mangilik Yel.",· 8 (701) 565 6565,⋅ Opens 9 AM Mon,Closed,"https://www.google.com/maps/dir//%D0%9F%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9+%D1%85%D0%B8%D1%80%D1%83%D1%80%D0%B3+%D0%91%D0%B5%D0%B9%D1%81%D0%BA%D0%B5%D0%BD%D0%BE%D0%B2+%D0%98%D0%BB%D1%8C%D1%8F%D1%81+%D0%A1%D0%B0%D0%BC%D0%B0%D1%82%D0%BE%D0%B2%D0%B8%D1%87.+%D0%9F%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F+%D1%85%D0%B8%D1%80%D1%83%D1%80%D0%B3%D0%B8%D1%8F+%D0%B2+%D0%90%D1%81%D1%82%D0%B0%D0%BD%D0%B5.,+29%2F1,+Prospekt+Mangilik+Yel.,+Astana+010000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x424586cdddeddc8d:0x696e0473ea74d94c?sa=X&ved=1t:57443&ictx=111",
Saada Medicus,· Plastic surgeon,Plastic surgery clinic,Astana,Kazakhstan,5,-1,Ул. Бухар Жырау 42,,,,"https://www.google.com/maps/dir//Saada+Medicus,+%D0%A3%D0%BB.+%D0%91%D1%83%D1%85%D0%B0%D1%80+%D0%96%D1%8B%D1%80%D0%B0%D1%83+42,+Astana+020000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x424585114cb411a1:0xc234f338b56fc89d?sa=X&ved=1t:57443&ictx=111",
Khegay Vladimir Aleksandrovich,· Plastic surgeon,Plastic surgery clinic,Astana,Kazakhstan,3.8,-14,Abylay Khan Ave 14/1,· 8 (705) 584 6465,⋅ Closes 5 PM,Open,"https://www.google.com/maps/dir//Khegay+Vladimir+Aleksandrovich,+Abylay+Khan+Ave+14%2F1,+Astana+010000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4245813892e730d7:0xd024183919efcb6a?sa=X&ved=1t:57443&ictx=111",
Tulip Medicine,· Skin care clinic,Plastic surgery clinic,Astana,Kazakhstan,4.3,-32,Aleksandr Barayev St 21 Б,· 8 (702) 075 0808,⋅ Closes 9 PM,Open,"https://www.google.com/maps/dir//Tulip+Medicine,+Aleksandr+Barayev+St+21+%D0%91,+Astana+020000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4245813309edb40d:0xa7ec7191473ab7a2?sa=X&ved=1t:57443&ictx=111",
Клиника микрохирургии глаза и эстетической медицины в Астане - RB CLINIC,· Ophthalmology clinic,Plastic surgery clinic,Astana,Kazakhstan,5,-9,Ulitsa Orynbor 010000,· 8 (700) 185 7979,⋅ Closes 7 PM,Open,"https://www.google.com/maps/dir//%D0%9A%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0+%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D1%85%D0%B8%D1%80%D1%83%D1%80%D0%B3%D0%B8%D0%B8+%D0%B3%D0%BB%D0%B0%D0%B7%D0%B0+%D0%B8+%D1%8D%D1%81%D1%82%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%8B+%D0%B2+%D0%90%D1%81%D1%82%D0%B0%D0%BD%D0%B5+-+RB+CLINIC,+Ulitsa+Orynbor+010000,+Astana/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x42458508d6b6e039:0x9be2ae71f85dcc96?sa=X&ved=1t:57443&ictx=111",
ASTANA VISION KIDS г. Астана,· Children Policlinic,Orthopedic clinic,Astana,Kazakhstan,5,-1,"10, 020000 Омарова ул.",· 8 (747) 090 5306,⋅ Closes 3 PM,Open,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwir7ceBsOiLAxVyVpEFHa0-NfUYABAAGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWrU-ARJnu8g1aNoMWf59xe-JWZx4Zhvu128W2qO31AdI_sDWJxSkYYaApQtEALw_wcB&ohost=www.google.com&cid=CAESVeD2dc_Akg_Ve5I2ZhHri2caJHad_xRpfv1ueFKbATKi1Y2fYQH1pg9QSFBx9qpVq1ylqOPJtO3onI3HsAw3HM0pqp2JpF5GW5hLs5xONK7wqtVPuLI&sig=AOD64_0cPcBOQMl-0xrzwrg-5arM-refaw&q=&ctype=99&ved=2ahUKEwiF_MKBsOiLAxXCERAIHagpKFQQhKwBegQIHhAP&adurl=,
Extra Comfort Ортопедический Центр,· Orthopedic clinic,Orthopedic clinic,Astana,Kazakhstan,4.2,-41,Sauran St 9,· 8 (707) 060 1097,⋅ Closes 3 PM,Open,http://reabilitacia.kz/,
"Медицинский центр Он Клиник Астана - уролог, проктолог, гинеколог, урологический центр",· Medical Center,Orthopedic clinic,Astana,Kazakhstan,3.6,-150,"Zhk ""Gul'der"", Shokan Valikhanov Street 1",· 8 (705) 536 0303,⋅ Closes 5 PM,Open,https://astana.onclinic.kz/,
Klinika Lecheniya Sustavov I Pozvonochnika,· Orthopedic clinic,Orthopedic clinic,Astana,Kazakhstan,5,-6,Kenesary St 61,· 8 (700) 310 2040,⋅ Closes 3 PM,Open,https://www.instagram.com/p/CHIyVcsJnnn/?igshid=1fhe6c4hd3374,
Scoliologic.kz,· Orthopedic clinic,Orthopedic clinic,Astana,Kazakhstan,5,-1,Abubakir Ysmayylov St Танабаева 7,· 8 (702) 214 0303,,Open now,http://scoliologic.kz/,
Abdrakhmanov Alibek Zhanpeisovich,· Orthopedic surgeon,Orthopedic clinic,Astana,Kazakhstan,5,-2,Zhengis Ave 71,· 8 (7172) 39 44 55,,Open now,,
"Too ""Klinika Pozvonochnika""",· Medical clinic,Orthopedic clinic,Astana,Kazakhstan,4.8,-19,Agybay Batyr St 5,· 8 (707) 577 0022,⋅ Closes 2 PM,Open,http://pozvonochnik.kz/,
Scientific Research Institute of Trauma and Orthopaedy,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,4.2,-177,Abylay Khan Ave 15 а,· 8 (7172) 64 09 60,⋅ Opens 8:30 AM Mon,Closed,https://nscto.kz/,
"Tsentr Ortopedicheskoy I Sportivnoy Reabilitatsii ""Atlant""",· Orthopedic clinic,Orthopedic clinic,Astana,Kazakhstan,4,-6,Turan Ave 6/1А,· 8 (7172) 72 89 38,⋅ Closes 4 PM,Open,http://www.atlant-med.kz/,
Akademiya Ortopedii,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,4,-18,"д, Shokan Valikhanov Street 12",· 8 (7172) 65 11 90,⋅ Closes 8 PM,Open,,
Tsentr Ortopedii I Reabilitatsii Kinetik,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,4.6,-24,Байтурсынова 5 Highvill,· 8 (775) 241 3300,⋅ Closes 6 PM,Open,http://kinetik.kz/,
Alaumedplyus,· Orthopedic clinic,Orthopedic clinic,Astana,Kazakhstan,4.5,-40,улица Кайыма Мухамедханов 21,· 8 (702) 483 0397,⋅ Closes 5 PM,Open,http://www.alaumed.kz/,
Dom Zdorov'ya,· Medical clinic,Orthopedic clinic,Astana,Kazakhstan,3.1,-144,"Цех №9, Respublika Ave",· 8 (7172) 39 76 18,⋅ Closes 6 PM,Open,https://2gis.kz/nur_sultan/firm/70000001018091118,
Kostoprav Nursultan,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,5,-1,Sarayshyq St 5Б,· 8 (707) 440 4575,,Open 24 hours,,
Ortopedicheskiy Tsentr Saygak Orto Astana,· Orthotics & prosthetics service,Orthopedic clinic,Astana,Kazakhstan,,,Kulash Bayseyitova St 5,· 8 (747) 681 2684,⋅ Closes 4 PM,Open,,
Tsentr Ortopedii,· Hospital,Orthopedic clinic,Astana,Kazakhstan,4.3,-15,"2,, Ghabit Musrepov St 10",· 8 (7172) 72 93 08,⋅ Closes 2 PM,Open,,
Ekstra Komfort,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,4.1,-14,Grigorii Potanin St 14,,⋅ Closes 3 PM,Open,http://ortopedia.kz/,
Akademiya Ortopedii,· Orthopedic shoe store,Orthopedic clinic,Astana,Kazakhstan,4.4,-87,Petrov St 25,· 8 (7172) 36 42 05,⋅ Closes 7 PM,Open,https://akademorto.kz/,
Lechebno Diagnosticheskiy Tsentr,· Orthopedic surgeon,Orthopedic clinic,Astana,Kazakhstan,4,-23,Тәуелсіздік 8,· 8 (7172) 36 02 70,⋅ Closes 9 PM,Open,,
LUCEM MEDICAL CLINIC.,· Walk-in clinic,Orthopedic clinic,Astana,Kazakhstan,4.2,-106,Amanat St 2,· 8 (708) 887 3319,Open 24 hours,,"https://www.google.com/maps/dir//LUCEM+MEDICAL+CLINIC.,+Amanat+St+2,+Astana+020000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4245811d17d3ee73:0x5376c3622efb7696?sa=X&ved=1t:57443&ictx=111",
Keruen Médicus,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,4,-23,Zheltoqsan St 1,8 (7172) 39 11 15,,,https://life-medicus.kz/,
МРТ Астана КТ - MRI Astana CT Mediscan,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,3.9,-27,Kenzhebek Kumisbekov St 12в,· 8 (700) 933 3208,⋅ Closes 8 PM,Open,https://mrt.mediscan.kz/?utm_source=gcard&utm_medium=gcard&utm_campaign=gcard,
Kinetik,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,5,-1,Ahmeta Bajtursynova St 5,· 8 (707) 775 1300,⋅ Closes 6 PM,Open,http://kinetik.kz/,
Family Clinic,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,4.2,-161,Säken Seyfullin St 34Б,· 8 (707) 103 6661,⋅ Closes 4 PM,Open,http://familyclinic.kz/,
ОртоДок,· Orthopedic shoe store,Orthopedic clinic,Astana,Kazakhstan,3.3,-7,Kenesary St 42,· 8 (7172) 20 09 92,⋅ Closes 8 PM,Open,,
Republican Children's Rehabilitation Center,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,4.4,-101,Turan Ave 36,· 8 (7172) 51 15 55,⋅ Opens 8:30 AM Mon,Closed,https://nccr.kz/ru/,
Ортопедический салон medi,· Medical group,Orthopedic clinic,Astana,Kazakhstan,5,-3,"ТРЦ ASIAPARK, Qabanbay Batyr Ave 21",· 8 (777) 080 3300,⋅ Closes 10 PM,Open,http://medi.kz/,
Клиника Inmed,· Medical Center,Orthopedic clinic,Astana,Kazakhstan,4,-1,Syganak St 16/1,,,,,
